"","season_name","season","episode","day","tribe_status","castaway","immunity","vote","nullified","voted_out","order","vote_order","castaway_id","vote_id","voted_out_id"
"2408","Survivor: South Pacific",23,12,30,"Merged","Rick",NA,"Cochran",FALSE,"Cochran",13,1,351,348,348
"2409","Survivor: South Pacific",23,12,30,"Merged","Sophie",NA,"Cochran",FALSE,"Cochran",13,1,353,348,348
"2410","Survivor: South Pacific",23,13,32,"Merged","Albert",NA,"Edna",FALSE,"Edna",14,1,352,349,349
"2411","Survivor: South Pacific",23,13,32,"Merged","Brandon",NA,"Edna",FALSE,"Edna",14,1,350,349,349
"2412","Survivor: South Pacific",23,13,32,"Merged","Coach","Individual","Edna",FALSE,"Edna",14,1,277,349,349
"2413","Survivor: South Pacific",23,13,32,"Merged","Edna",NA,"Brandon",FALSE,"Edna",14,1,349,350,349
"2414","Survivor: South Pacific",23,13,32,"Merged","Rick",NA,"Edna",FALSE,"Edna",14,1,351,349,349
"2415","Survivor: South Pacific",23,13,32,"Merged","Sophie",NA,"Edna",FALSE,"Edna",14,1,353,349,349
"2416","Survivor: South Pacific",23,14,35,"Merged","Albert",NA,"Sophie",FALSE,"Brandon",15,1,352,353,350
"2417","Survivor: South Pacific",23,14,35,"Merged","Brandon","Individual","Sophie",FALSE,"Brandon",15,1,350,353,350
"2418","Survivor: South Pacific",23,14,35,"Merged","Coach",NA,"Brandon",FALSE,"Brandon",15,1,277,350,350
"2419","Survivor: South Pacific",23,14,35,"Merged","Rick",NA,"Brandon",FALSE,"Brandon",15,1,351,350,350
"2420","Survivor: South Pacific",23,14,35,"Merged","Sophie",NA,"Brandon",FALSE,"Brandon",15,1,353,350,350
"2421","Survivor: South Pacific",23,15,37,"Merged","Albert",NA,"Rick",FALSE,"Rick",16,1,352,351,351
"2422","Survivor: South Pacific",23,15,37,"Merged","Coach",NA,"Rick",FALSE,"Rick",16,1,277,351,351
"2423","Survivor: South Pacific",23,15,37,"Merged","Ozzy","Individual","Sophie",FALSE,"Rick",16,1,201,353,351
"2424","Survivor: South Pacific",23,15,37,"Merged","Rick",NA,"Sophie",FALSE,"Rick",16,1,351,353,351
"2425","Survivor: South Pacific",23,15,37,"Merged","Sophie",NA,"Rick",FALSE,"Rick",16,1,353,351,351
"2426","Survivor: South Pacific",23,15,38,"Merged","Albert",NA,"Ozzy",FALSE,"Ozzy",17,1,352,201,201
"2427","Survivor: South Pacific",23,15,38,"Merged","Coach",NA,"Ozzy",FALSE,"Ozzy",17,1,277,201,201
"2428","Survivor: South Pacific",23,15,38,"Merged","Ozzy",NA,"Albert",FALSE,"Ozzy",17,1,201,352,201
"2429","Survivor: South Pacific",23,15,38,"Merged","Sophie","Individual","Ozzy",FALSE,"Ozzy",17,1,353,201,201
"2430","Survivor: Redemption Island",22,1,3,"Original","Andrea",NA,"Kristina",FALSE,"Francesca",1,1,333,324,322
"2431","Survivor: Redemption Island",22,1,3,"Original","Ashley",NA,"Kristina",FALSE,"Francesca",1,1,335,324,322
