"","season_name","season","episode","day","castaway_id","castaway","tribe","tribe_status"
"187","Survivor: The Australian Outback",2,4,12,29,"Elisabeth","Kucha","Original"
"188","Survivor: The Australian Outback",2,4,12,20,"Mitchell","Ogakor","Original"
"189","Survivor: The Australian Outback",2,4,12,25,"Jerri","Ogakor","Original"
"190","Survivor: The Australian Outback",2,4,12,27,"Amber","Ogakor","Original"
"191","Survivor: The Australian Outback",2,4,12,30,"Keith","Ogakor","Original"
"192","Survivor: The Australian Outback",2,4,12,31,"Colby","Ogakor","Original"
"193","Survivor: The Australian Outback",2,4,12,32,"Tina","Ogakor","Original"
"194","Survivor: The Australian Outback",2,5,15,21,"Kimmi","Kucha","Original"
"195","Survivor: The Australian Outback",2,5,15,22,"Michael","Kucha","Original"
"196","Survivor: The Australian Outback",2,5,15,23,"Jeff","Kucha","Original"
"197","Survivor: The Australian Outback",2,5,15,24,"Alicia","Kucha","Original"
"198","Survivor: The Australian Outback",2,5,15,26,"Nick","Kucha","Original"
"199","Survivor: The Australian Outback",2,5,15,28,"Rodger","Kucha","Original"
"200","Survivor: The Australian Outback",2,5,15,29,"Elisabeth","Kucha","Original"
"201","Survivor: The Australian Outback",2,5,15,25,"Jerri","Ogakor","Original"
"202","Survivor: The Australian Outback",2,5,15,27,"Amber","Ogakor","Original"
"203","Survivor: The Australian Outback",2,5,15,30,"Keith","Ogakor","Original"
"204","Survivor: The Australian Outback",2,5,15,31,"Colby","Ogakor","Original"
"205","Survivor: The Australian Outback",2,5,15,32,"Tina","Ogakor","Original"
"206","Survivor: The Australian Outback",2,6,17,22,"Michael","Kucha","Original"
"207","Survivor: The Australian Outback",2,6,17,23,"Jeff","Kucha","Original"
"208","Survivor: The Australian Outback",2,6,17,24,"Alicia","Kucha","Original"
"209","Survivor: The Australian Outback",2,6,17,26,"Nick","Kucha","Original"
"210","Survivor: The Australian Outback",2,6,17,28,"Rodger","Kucha","Original"
"211","Survivor: The Australian Outback",2,6,17,29,"Elisabeth","Kucha","Original"
"212","Survivor: The Australian Outback",2,6,17,25,"Jerri","Ogakor","Original"
"213","Survivor: The Australian Outback",2,6,17,27,"Amber","Ogakor","Original"
"214","Survivor: The Australian Outback",2,6,17,30,"Keith","Ogakor","Original"
"215","Survivor: The Australian Outback",2,6,17,31,"Colby","Ogakor","Original"
"216","Survivor: The Australian Outback",2,6,17,32,"Tina","Ogakor","Original"
"217","Survivor: The Australian Outback",2,7,21,23,"Jeff","Barramundi","Merged"
"218","Survivor: The Australian Outback",2,7,21,24,"Alicia","Barramundi","Merged"
"219","Survivor: The Australian Outback",2,7,21,25,"Jerri","Barramundi","Merged"
"220","Survivor: The Australian Outback",2,7,21,26,"Nick","Barramundi","Merged"
"221","Survivor: The Australian Outback",2,7,21,27,"Amber","Barramundi","Merged"
"222","Survivor: The Australian Outback",2,7,21,28,"Rodger","Barramundi","Merged"
"223","Survivor: The Australian Outback",2,7,21,29,"Elisabeth","Barramundi","Merged"
"224","Survivor: The Australian Outback",2,7,21,30,"Keith","Barramundi","Merged"
"225","Survivor: The Australian Outback",2,7,21,31,"Colby","Barramundi","Merged"
"226","Survivor: The Australian Outback",2,7,21,32,"Tina","Barramundi","Merged"
"227","Survivor: The Australian Outback",2,8,24,24,"Alicia","Barramundi","Merged"
"228","Survivor: The Australian Outback",2,8,24,25,"Jerri","Barramundi","Merged"
"229","Survivor: The Australian Outback",2,8,24,26,"Nick","Barramundi","Merged"
"230","Survivor: The Australian Outback",2,8,24,27,"Amber","Barramundi","Merged"
"231","Survivor: The Australian Outback",2,8,24,28,"Rodger","Barramundi","Merged"
"232","Survivor: The Australian Outback",2,8,24,29,"Elisabeth","Barramundi","Merged"
"233","Survivor: The Australian Outback",2,8,24,30,"Keith","Barramundi","Merged"
"234","Survivor: The Australian Outback",2,8,24,31,"Colby","Barramundi","Merged"
"235","Survivor: The Australian Outback",2,8,24,32,"Tina","Barramundi","Merged"
"236","Survivor: The Australian Outback",2,10,27,25,"Jerri","Barramundi","Merged"
"237","Survivor: The Australian Outback",2,10,27,26,"Nick","Barramundi","Merged"
"238","Survivor: The Australian Outback",2,10,27,27,"Amber","Barramundi","Merged"
"239","Survivor: The Australian Outback",2,10,27,28,"Rodger","Barramundi","Merged"
"240","Survivor: The Australian Outback",2,10,27,29,"Elisabeth","Barramundi","Merged"
"241","Survivor: The Australian Outback",2,10,27,30,"Keith","Barramundi","Merged"
"242","Survivor: The Australian Outback",2,10,27,31,"Colby","Barramundi","Merged"
"243","Survivor: The Australian Outback",2,10,27,32,"Tina","Barramundi","Merged"
"244","Survivor: The Australian Outback",2,11,30,26,"Nick","Barramundi","Merged"
"245","Survivor: The Australian Outback",2,11,30,27,"Amber","Barramundi","Merged"
"246","Survivor: The Australian Outback",2,11,30,28,"Rodger","Barramundi","Merged"
"247","Survivor: The Australian Outback",2,11,30,29,"Elisabeth","Barramundi","Merged"
"248","Survivor: The Australian Outback",2,11,30,30,"Keith","Barramundi","Merged"
"249","Survivor: The Australian Outback",2,11,30,31,"Colby","Barramundi","Merged"
"250","Survivor: The Australian Outback",2,11,30,32,"Tina","Barramundi","Merged"
"251","Survivor: The Australian Outback",2,12,33,27,"Amber","Barramundi","Merged"
"252","Survivor: The Australian Outback",2,12,33,28,"Rodger","Barramundi","Merged"
"253","Survivor: The Australian Outback",2,12,33,29,"Elisabeth","Barramundi","Merged"
"254","Survivor: The Australian Outback",2,12,33,30,"Keith","Barramundi","Merged"
"255","Survivor: The Australian Outback",2,12,33,31,"Colby","Barramundi","Merged"
"256","Survivor: The Australian Outback",2,12,33,32,"Tina","Barramundi","Merged"
"257","Survivor: The Australian Outback",2,13,36,28,"Rodger","Barramundi","Merged"
"258","Survivor: The Australian Outback",2,13,36,29,"Elisabeth","Barramundi","Merged"
"259","Survivor: The Australian Outback",2,13,36,30,"Keith","Barramundi","Merged"
"260","Survivor: The Australian Outback",2,13,36,31,"Colby","Barramundi","Merged"
"261","Survivor: The Australian Outback",2,13,36,32,"Tina","Barramundi","Merged"
"262","Survivor: The Australian Outback",2,14,39,29,"Elisabeth","Barramundi","Merged"
"263","Survivor: The Australian Outback",2,14,39,30,"Keith","Barramundi","Merged"
"264","Survivor: The Australian Outback",2,14,39,31,"Colby","Barramundi","Merged"
"265","Survivor: The Australian Outback",2,14,39,32,"Tina","Barramundi","Merged"
"266","Survivor: The Australian Outback",2,15,41,30,"Keith","Barramundi","Merged"
"267","Survivor: Africa",3,1,3,33,"Diane","Boran","Original"
"268","Survivor: Africa",3,1,3,34,"Jessie","Boran","Original"
"269","Survivor: Africa",3,1,3,39,"Clarence","Boran","Original"
"270","Survivor: Africa",3,1,3,40,"Kelly","Boran","Original"
"271","Survivor: Africa",3,1,3,45,"Tom","Boran","Original"
"272","Survivor: Africa",3,1,3,46,"Lex","Boran","Original"
"273","Survivor: Africa",3,1,3,47,"Kim J.","Boran","Original"
"274","Survivor: Africa",3,1,3,48,"Ethan","Boran","Original"
"275","Survivor: Africa",3,1,3,35,"Carl","Samburu","Original"
"276","Survivor: Africa",3,1,3,36,"Linda","Samburu","Original"
"277","Survivor: Africa",3,1,3,37,"Silas","Samburu","Original"
"278","Survivor: Africa",3,1,3,38,"Lindsey","Samburu","Original"
"279","Survivor: Africa",3,1,3,41,"Brandon","Samburu","Original"
"280","Survivor: Africa",3,1,3,42,"Frank","Samburu","Original"
"281","Survivor: Africa",3,1,3,43,"Kim P.","Samburu","Original"
"282","Survivor: Africa",3,1,3,44,"Teresa","Samburu","Original"
"283","Survivor: Africa",3,2,6,34,"Jessie","Boran","Original"
"284","Survivor: Africa",3,2,6,39,"Clarence","Boran","Original"
"285","Survivor: Africa",3,2,6,40,"Kelly","Boran","Original"
"286","Survivor: Africa",3,2,6,45,"Tom","Boran","Original"
"287","Survivor: Africa",3,2,6,46,"Lex","Boran","Original"
"288","Survivor: Africa",3,2,6,47,"Kim J.","Boran","Original"
"289","Survivor: Africa",3,2,6,48,"Ethan","Boran","Original"
"290","Survivor: Africa",3,2,6,35,"Carl","Samburu","Original"
"291","Survivor: Africa",3,2,6,36,"Linda","Samburu","Original"
"292","Survivor: Africa",3,2,6,37,"Silas","Samburu","Original"
"293","Survivor: Africa",3,2,6,38,"Lindsey","Samburu","Original"
"294","Survivor: Africa",3,2,6,41,"Brandon","Samburu","Original"
"295","Survivor: Africa",3,2,6,42,"Frank","Samburu","Original"
"296","Survivor: Africa",3,2,6,43,"Kim P.","Samburu","Original"
"297","Survivor: Africa",3,2,6,44,"Teresa","Samburu","Original"
"298","Survivor: Africa",3,3,9,39,"Clarence","Boran","Original"
"299","Survivor: Africa",3,3,9,40,"Kelly","Boran","Original"
"300","Survivor: Africa",3,3,9,45,"Tom","Boran","Original"
